
2024/04/08 (14:27:26) | ===> btop++ v.1.3.2
2024/04/08 (14:27:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/11 (08:21:36) | ===> btop++ v.1.3.2
2024/04/11 (08:21:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/18 (10:26:00) | ===> btop++ v.1.3.2
2024/04/18 (10:26:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/18 (10:26:22) | ===> btop++ v.1.3.2
2024/04/18 (10:26:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/18 (10:27:09) | ===> btop++ v.1.3.2
2024/04/18 (10:27:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/09 (15:17:24) | ===> btop++ v.1.3.2
2024/06/09 (15:17:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
